"Featureid2","Featureid","tubeID","IndID","NestID","SampleForm","VisualInsp","TEFPCR","FSSC","FSSC_strains","FSSCAbundance","Stage","FSSC2"
"3005-E-ITS","3005-E","Pu.NHE29_Ext","NHE29","N30","Egg","EviUn","EFiPos",0,0,0,"UnhatchedEggED","PCR(-)/NoFSSC"
"3006-ITS","3006","Pu.NHE64","NHE64","N30","Egg","EviH","EFiPos","NA","NA",0,"UnhatchedEggLD","PCR(-)/NoFSSC"
"3007-ITS","3007","Pu.NHE65","NHE65","N30","Egg","EviH","EFiPos",1,1,10562,"UnhatchedEggLD","FSSC_Infected"
"3008-ITS","3008","Pu.NHE66","NHE66","N30","Egg","EviH","EFiPos",1,1,13750,"UnhatchedEggED","FSSC_Infected"
"302-ITS","302","Pu.NHE87","NHE87","N3","Egg","EviUn","EFiNeg","NA","NA",0,"UnhatchedEggED","PCR(-)/NoFSSC"
"303-ITS","303","Pu.NHE88","NHE88","N3","Egg","EviUn","EFiPos",1,2,7850,"UnhatchedEggED","FSSC_Infected"
"304-ITS","304","Pu.NHE89","NHE89","N3","Egg","EviUn","EFiPos",1,1,11830,"UnhatchedEggED","FSSC_Infected"
"305-ITS","305","Pu.NHE90","NHE90","N3","Egg","EviH","EFiNeg","NA","NA",0,"UnhatchedEggLD","PCR(-)/NoFSSC"
"3101-ITS","3101","Pu.NHE82","NHE82","N31","Egg","EviH","EFiPos",1,1,5,"UnhatchedEggLD","FSSC_Infected"
"3102-ITS","3102","Pu.NHE83","NHE83","N31","Egg","EviH","EFiNeg","NA","NA",0,"UnhatchedEggLD","PCR(-)/NoFSSC"
"3202-2-ITS","3202","Pu.NHE79","NHE79","N32","Egg","EviUn","EFiPos",1,1,11864,"UnhatchedEggED","FSSC_Infected"
"3203-ITS","3203","Pu.NHE80","NHE80","N32","Egg","EviUn","EFiPos",1,1,13638,"UnhatchedEggED","FSSC_Infected"
"3204-ITS","3204","Pu.NHE81","NHE81","N32","Egg","EviUn","EFiPos",0,0,0,"UnhatchedEggED","PCR(-)/NoFSSC"
"3205-ITS","3205","Pu.NHE105","NHE105","N32","Egg","EviUn","EFiPos",1,1,18880,"UnhatchedEggED","FSSC_Infected"
"3206-ITS","3206","Pu.NHE106","NHE106","N32","Egg","EviUn","EFiPos","NA","NA",0,"UnhatchedEggED","PCR(-)/NoFSSC"
"401-ITS","401","Pu.NHE32","NHE32","N4","Egg","EviUn","EFiPos",1,1,12311,"UnhatchedEggED","FSSC_Infected"
"402-E-ITS","402-E","Pu.NHE39_Ext","NHE39","N4","Egg","EviUn","EFiNeg",1,1,6236,"UnhatchedEggED","FSSC_Infected"
